"ITTER107","Territory","TIPO_DATO22","Data type","ESITO","Result","TIME","Select time","Value","Flag Codes","Flags"
"029041","Rovigo","KILLINJ","killed and injured","M","killed","2021","2021",6,,
"029001","Adria","KILLINJ","killed and injured","M","killed","2021","2021",1,,
"029002","Ariano nel Polesine","KILLINJ","killed and injured","M","killed","2021","2021",1,,
"029003","Arquà Polesine","KILLINJ","killed and injured","M","killed","2021","2021",1,,
"029004","Badia Polesine","KILLINJ","killed and injured","M","killed","2021","2021",2,,
"029005","Bagnolo di Po","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029006","Bergantino","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029007","Bosaro","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029008","Calto","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029009","Canaro","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029010","Canda","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029011","Castelguglielmo","KILLINJ","killed and injured","M","killed","2021","2021",1,,
"029012","Castelmassa","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029013","Castelnovo Bariano","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029014","Ceneselli","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029015","Ceregnano","KILLINJ","killed and injured","M","killed","2021","2021",2,,
"029017","Corbola","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029018","Costa di Rovigo","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029019","Crespino","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029021","Ficarolo","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029022","Fiesso Umbertiano","KILLINJ","killed and injured","M","killed","2021","2021",1,,
"029023","Frassinelle Polesine","KILLINJ","killed and injured","M","killed","2021","2021",1,,
"029024","Fratta Polesine","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029025","Gaiba","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029026","Gavello","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029027","Giacciano con Baruchella","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029028","Guarda Veneta","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029029","Lendinara","KILLINJ","killed and injured","M","killed","2021","2021",1,,
"029030","Loreo","KILLINJ","killed and injured","M","killed","2021","2021",1,,
"029031","Lusia","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029032","Melara","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029033","Occhiobello","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029034","Papozze","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029035","Pettorazza Grimani","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029036","Pincara","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029037","Polesella","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029038","Pontecchio Polesine","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029039","Porto Tolle","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029052","Porto Viro","KILLINJ","killed and injured","M","killed","2021","2021",1,,
"029040","Rosolina","KILLINJ","killed and injured","M","killed","2021","2021",2,,
"029042","Salara","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029043","San Bellino","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029044","San Martino di Venezze","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029045","Stienta","KILLINJ","killed and injured","M","killed","2021","2021",1,,
"029046","Taglio di Po","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029047","Trecenta","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029048","Villadose","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029049","Villamarzana","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029050","Villanova del Ghebbo","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029051","Villanova Marchesana","KILLINJ","killed and injured","M","killed","2021","2021",0,,
"029041","Rovigo","KILLINJ","killed and injured","F","injured","2021","2021",228,,
"029001","Adria","KILLINJ","killed and injured","F","injured","2021","2021",61,,
"029002","Ariano nel Polesine","KILLINJ","killed and injured","F","injured","2021","2021",16,,
"029003","Arquà Polesine","KILLINJ","killed and injured","F","injured","2021","2021",11,,
"029004","Badia Polesine","KILLINJ","killed and injured","F","injured","2021","2021",15,,
"029005","Bagnolo di Po","KILLINJ","killed and injured","F","injured","2021","2021",2,,
"029006","Bergantino","KILLINJ","killed and injured","F","injured","2021","2021",8,,
"029007","Bosaro","KILLINJ","killed and injured","F","injured","2021","2021",2,,
"029008","Calto","KILLINJ","killed and injured","F","injured","2021","2021",2,,
"029009","Canaro","KILLINJ","killed and injured","F","injured","2021","2021",7,,
"029010","Canda","KILLINJ","killed and injured","F","injured","2021","2021",4,,
"029011","Castelguglielmo","KILLINJ","killed and injured","F","injured","2021","2021",4,,
"029012","Castelmassa","KILLINJ","killed and injured","F","injured","2021","2021",7,,
"029013","Castelnovo Bariano","KILLINJ","killed and injured","F","injured","2021","2021",11,,
"029014","Ceneselli","KILLINJ","killed and injured","F","injured","2021","2021",3,,
"029015","Ceregnano","KILLINJ","killed and injured","F","injured","2021","2021",4,,
"029017","Corbola","KILLINJ","killed and injured","F","injured","2021","2021",1,,
"029018","Costa di Rovigo","KILLINJ","killed and injured","F","injured","2021","2021",9,,
"029019","Crespino","KILLINJ","killed and injured","F","injured","2021","2021",5,,
"029021","Ficarolo","KILLINJ","killed and injured","F","injured","2021","2021",11,,
"029022","Fiesso Umbertiano","KILLINJ","killed and injured","F","injured","2021","2021",8,,
"029023","Frassinelle Polesine","KILLINJ","killed and injured","F","injured","2021","2021",5,,
"029024","Fratta Polesine","KILLINJ","killed and injured","F","injured","2021","2021",11,,
"029025","Gaiba","KILLINJ","killed and injured","F","injured","2021","2021",0,,
"029026","Gavello","KILLINJ","killed and injured","F","injured","2021","2021",1,,
"029027","Giacciano con Baruchella","KILLINJ","killed and injured","F","injured","2021","2021",5,,
"029028","Guarda Veneta","KILLINJ","killed and injured","F","injured","2021","2021",4,,
"029029","Lendinara","KILLINJ","killed and injured","F","injured","2021","2021",28,,
"029030","Loreo","KILLINJ","killed and injured","F","injured","2021","2021",6,,
"029031","Lusia","KILLINJ","killed and injured","F","injured","2021","2021",2,,
"029032","Melara","KILLINJ","killed and injured","F","injured","2021","2021",16,,
"029033","Occhiobello","KILLINJ","killed and injured","F","injured","2021","2021",51,,
"029034","Papozze","KILLINJ","killed and injured","F","injured","2021","2021",2,,
"029035","Pettorazza Grimani","KILLINJ","killed and injured","F","injured","2021","2021",1,,
"029036","Pincara","KILLINJ","killed and injured","F","injured","2021","2021",3,,
"029037","Polesella","KILLINJ","killed and injured","F","injured","2021","2021",10,,
"029038","Pontecchio Polesine","KILLINJ","killed and injured","F","injured","2021","2021",1,,
"029039","Porto Tolle","KILLINJ","killed and injured","F","injured","2021","2021",18,,
"029052","Porto Viro","KILLINJ","killed and injured","F","injured","2021","2021",31,,
"029040","Rosolina","KILLINJ","killed and injured","F","injured","2021","2021",13,,
"029042","Salara","KILLINJ","killed and injured","F","injured","2021","2021",1,,
"029043","San Bellino","KILLINJ","killed and injured","F","injured","2021","2021",19,,
"029044","San Martino di Venezze","KILLINJ","killed and injured","F","injured","2021","2021",12,,
"029045","Stienta","KILLINJ","killed and injured","F","injured","2021","2021",12,,
"029046","Taglio di Po","KILLINJ","killed and injured","F","injured","2021","2021",27,,
"029047","Trecenta","KILLINJ","killed and injured","F","injured","2021","2021",7,,
"029048","Villadose","KILLINJ","killed and injured","F","injured","2021","2021",8,,
"029049","Villamarzana","KILLINJ","killed and injured","F","injured","2021","2021",10,,
"029050","Villanova del Ghebbo","KILLINJ","killed and injured","F","injured","2021","2021",9,,
"029051","Villanova Marchesana","KILLINJ","killed and injured","F","injured","2021","2021",0,,
"029041","Rovigo","ROADACC","road accidents with injuries","9","total","2021","2021",174,,
"029001","Adria","ROADACC","road accidents with injuries","9","total","2021","2021",44,,
"029002","Ariano nel Polesine","ROADACC","road accidents with injuries","9","total","2021","2021",11,,
"029003","Arquà Polesine","ROADACC","road accidents with injuries","9","total","2021","2021",8,,
"029004","Badia Polesine","ROADACC","road accidents with injuries","9","total","2021","2021",11,,
"029005","Bagnolo di Po","ROADACC","road accidents with injuries","9","total","2021","2021",1,,
"029006","Bergantino","ROADACC","road accidents with injuries","9","total","2021","2021",7,,
"029007","Bosaro","ROADACC","road accidents with injuries","9","total","2021","2021",2,,
"029008","Calto","ROADACC","road accidents with injuries","9","total","2021","2021",1,,
"029009","Canaro","ROADACC","road accidents with injuries","9","total","2021","2021",5,,
"029010","Canda","ROADACC","road accidents with injuries","9","total","2021","2021",4,,
"029011","Castelguglielmo","ROADACC","road accidents with injuries","9","total","2021","2021",4,,
"029012","Castelmassa","ROADACC","road accidents with injuries","9","total","2021","2021",6,,
"029013","Castelnovo Bariano","ROADACC","road accidents with injuries","9","total","2021","2021",7,,
"029014","Ceneselli","ROADACC","road accidents with injuries","9","total","2021","2021",3,,
"029015","Ceregnano","ROADACC","road accidents with injuries","9","total","2021","2021",6,,
"029017","Corbola","ROADACC","road accidents with injuries","9","total","2021","2021",1,,
"029018","Costa di Rovigo","ROADACC","road accidents with injuries","9","total","2021","2021",6,,
"029019","Crespino","ROADACC","road accidents with injuries","9","total","2021","2021",4,,
"029021","Ficarolo","ROADACC","road accidents with injuries","9","total","2021","2021",5,,
"029022","Fiesso Umbertiano","ROADACC","road accidents with injuries","9","total","2021","2021",5,,
"029023","Frassinelle Polesine","ROADACC","road accidents with injuries","9","total","2021","2021",4,,
"029024","Fratta Polesine","ROADACC","road accidents with injuries","9","total","2021","2021",8,,
"029025","Gaiba","ROADACC","road accidents with injuries","9","total","2021","2021",0,,
"029026","Gavello","ROADACC","road accidents with injuries","9","total","2021","2021",1,,
"029027","Giacciano con Baruchella","ROADACC","road accidents with injuries","9","total","2021","2021",5,,
"029028","Guarda Veneta","ROADACC","road accidents with injuries","9","total","2021","2021",3,,
"029029","Lendinara","ROADACC","road accidents with injuries","9","total","2021","2021",25,,
"029030","Loreo","ROADACC","road accidents with injuries","9","total","2021","2021",6,,
"029031","Lusia","ROADACC","road accidents with injuries","9","total","2021","2021",2,,
"029032","Melara","ROADACC","road accidents with injuries","9","total","2021","2021",9,,
"029033","Occhiobello","ROADACC","road accidents with injuries","9","total","2021","2021",35,,
"029034","Papozze","ROADACC","road accidents with injuries","9","total","2021","2021",2,,
"029035","Pettorazza Grimani","ROADACC","road accidents with injuries","9","total","2021","2021",1,,
"029036","Pincara","ROADACC","road accidents with injuries","9","total","2021","2021",1,,
"029037","Polesella","ROADACC","road accidents with injuries","9","total","2021","2021",5,,
"029038","Pontecchio Polesine","ROADACC","road accidents with injuries","9","total","2021","2021",1,,
"029039","Porto Tolle","ROADACC","road accidents with injuries","9","total","2021","2021",12,,
"029052","Porto Viro","ROADACC","road accidents with injuries","9","total","2021","2021",21,,
"029040","Rosolina","ROADACC","road accidents with injuries","9","total","2021","2021",11,,
"029042","Salara","ROADACC","road accidents with injuries","9","total","2021","2021",1,,
"029043","San Bellino","ROADACC","road accidents with injuries","9","total","2021","2021",11,,
"029044","San Martino di Venezze","ROADACC","road accidents with injuries","9","total","2021","2021",9,,
"029045","Stienta","ROADACC","road accidents with injuries","9","total","2021","2021",8,,
"029046","Taglio di Po","ROADACC","road accidents with injuries","9","total","2021","2021",17,,
"029047","Trecenta","ROADACC","road accidents with injuries","9","total","2021","2021",6,,
"029048","Villadose","ROADACC","road accidents with injuries","9","total","2021","2021",6,,
"029049","Villamarzana","ROADACC","road accidents with injuries","9","total","2021","2021",7,,
"029050","Villanova del Ghebbo","ROADACC","road accidents with injuries","9","total","2021","2021",5,,
"029051","Villanova Marchesana","ROADACC","road accidents with injuries","9","total","2021","2021",0,,
